idiom	meaning	example	origin	used_at	pronunciation_audio	tags	slugs
Amber nectar	["A%20slang%20term%20for%20lager."]	["I%27ve%20been%20in%20the%20outback%20all%20day%20rounding%20up%20sheep%20and%20my%20throat%27s%20as%20dry%20as%20a%20pommies%20towel.%20I%27m%20just%20about%20ready%20to%20sink%20a%20few%20tinnies%20of%20the%20amber%20nectar."]	Originally the USA but only becoming widely used following its use as an advertising slogan by Foster's Lager, initially in Australia.	Worldwide, but rarely by the over 60s.	https://www.phrases.org.uk/idioms/audio/amber-nectar.mp3	drink,colour,australian_origin	amber nectar
Amped up	["Excited%20and%20ready%20for%20action."]	["He%27s%20been%20training%20for%20today%20all%20year.%20Now%20the%20big%20day%20has%20come%20and%20he%27s%20amped%20up%20and%20ready%20to%20go."]	USA, late 20th century. A reference to the amplification of acoustic instruments.	Worldwide, but more in the USA than elsewhere.	https://www.phrases.org.uk/idioms/audio/amped-up.mp3	emotion,america	amped up
an acid test	["An%20acid%20test%20is%20something%20that%20shows%20the%20true%20worth%20or%20value%20of%20something%20or%20someone.",""]	["Our%20new%20player%20has%20been%20doing%20well%20at%20training%20and%20in%20practice%20matches%2C%20but%20the%20acid%20test%20will%20come%20in%20her%20first%20real%20match.","The%20new%20political%20party%20is%20doing%20better%20and%20better%20in%20the%20polls%2C%20but%20the%20acid%20test%20will%20be%20the%20next%20election."]	Possibly related to the fact that a test involving acid has been used for over a century to prove that a metal that looks like gold is, or is not, really gold.			a	an acid test
An act of God	["Some%20event%20that%20is%20considered%20to%20be%20outside%20human%20control.%20Commonly%20used%20in%20insurance%20policies%20to%20refer%20to%20events%20that%20the%20insured%20cannot%20be%20held%20responsible%20for.","Something%20like%20an%20earthquake%20or%20a%20tornado%20can%20be%20called%20an%20act%20of%20God."]	["The%20insurance%20company%20had%20to%20pay%20up%20for%20the%20lightning%20strike%20damage.%20After%20all%2C%20it%20wasn%27t%20my%20fault%2C%20it%20was%20an%20act%20of%20God.","Will%20your%20insurance%20policy%20pay%20for%20the%20cost%20of%20replacing%20your%20house%20if%20it%27s%20destroyed%20by%20an%20act%20of%20God%3F","My%20daughter%20said%20that%20if%20disasters%20that%20kill%20lots%20of%20people%20are%20acts%20of%20God%2C%20why%20does%20He%20do%20it.%20I%20didn%27t%20know%20what%20to%20say."]	Britain. Used from the 13th century in its original religious sense and from the mid 19th century when referring to insurance claims. The phrase 'act of God' originally appeared in  religious texts, though nowadays it is mostly found in legal texts.	Worldwide.	https://www.phrases.org.uk/idioms/audio/an-act-of-god.mp3	religion,a	an act of god
An arm and a leg	["Very%20expensive.%20A%20large%20amount%20of%20money."]	["That%20new%20lawnmower%20is%20top%20of%20the%20range.%20It%20cost%20me%20an%20arm%20and%20a%20leg."]	USA, mid-20th century. Often mistakenly thought to be related to the high cost of painting full-length portraits.	Worldwide.	https://www.phrases.org.uk/idioms/audio/an-arm-and-a-leg.mp3	the_human_body,money,america	an arm and a leg
an ax to grind (1)	["If%20you%20have%20an%20ax%20to%20grind%20with%20someone%2C%20you%20have%20a%20problem%20with%20them%2C%20or%20a%20complaint%20against%20them%2C%20which%20you%27d%20like%20to%20discuss.",""]	["I%20have%20an%20ax%20to%20grind%20with%20Mitch.%20He%20owes%20me%20money%20and%20he%27s%20been%20avoiding%20me.","If%20Larry%20has%20an%20ax%20to%20grind%20with%20someone%2C%20and%20he%20meets%20them%20after%20he%27s%20been%20drinking%2C%20he%20can%20get%20violent."]				a,american	an ax to grind (1)
An axe to grind	["A%20dispute%20with%20someone."]	["Hey%2C%20I%27ve%20an%20axe%20to%20grind%20with%20you.%20Didn%27t%20I%20hear%20you%20calling%20my%20sister%20a%20slag%3F"]	USA, 18th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/an-axe-to-grind.mp3	conflict,america	an axe to grind
an axe to grind (2)	["If%20you%20have%20an%20axe%20to%20grind%2C%20you%20have%20a%20strong%20opinion%20about%20something%20and%20you%20express%20this%20opinion%20whenever%20you%20can.",""]	["Billy%27s%20had%20this%20axe%20to%20grind%20about%20globalisation%20recently%20and%20he%27s%20always%20going%20on%20about%20it.","These%20people%20always%20seem%20to%20have%20an%20axe%20to%20grind%20and%20whenever%20someone%20interviews%20them%20they%20see%20it%20as%20a%20chance%20to%20push%20their%20ideas."]				a,british	an axe to grind (2)
an end in itself	["If%20something%20is%20an%20end%20in%20itself%2C%20it%27s%20done%20for%20its%20own%20pleasure%20or%20benefit%20rather%20than%20for%20some%20%20other%20purpose%20like%20making%20money.",""]	["Billy%20says%20playing%20music%20in%20a%20band%20is%20an%20end%20in%20itself%20for%20him%2C%20but%20I%20think%20he%20does%20it%20to%20meet%20girls.","People%20used%20to%20think%20education%20was%20an%20end%20in%20itself%2C%20but%20these%20days%20kids%20study%20in%20order%20to%20make%20lots%20of%20money%20when%20they%20graduate."]				e	an end in itself
an even break	["If%20you%20get%20an%20even%20break%2C%20you%20get%20a%20fair%20opportunity%20to%20succeed%20in%20your%20ambition%20or%20to%20achieve%20your%20goals.",""]	["All%20Monica%20needs%20is%20an%20even%20break%20and%20she%20could%20be%20one%20of%20the%20country%27s%20top%20models.","He%20says%20he%27s%20never%20had%20an%20even%20break%20in%20life%20and%20that%27s%20why%20he%27s%20never%20achieved%20much."]				american,e	an even break
an eye-opener	["You%20can%20say%20something%27s%20an%20eye-opener%20if%20it%27s%20made%20you%20realize%20something%20you%20hadn%27t%20been%20aware%20of%20before.",""]	["Al%20Gore%27s%20movie%20%22An%20Inconvenient%20Truth%22%20was%20a%20real%20eye-opener%20for%20me.%20I%20hadn%27t%20really%20understood%20how%20serious%20global%20warming%20was%20until%20I%20saw%20it.","Cathy%20said%20her%20trip%20to%20Thailand%20was%20quite%20an%20eye-opener%20for%20her.%20She%27d%20never%20realized%20before%20how%20beautiful%20Thailand%20was%2C%20or%20how%20friendly%20the%20people%20were."]				body,e	an eye-opener
an ivory tower	["You%20can%20say%20someone%27s%20in%20an%20ivory%20tower%20if%20they%27re%20in%20a%20place%20that%20separates%20them%20from%20everyday%20life%2C%20such%20as%20a%20university.",""]	["People%20often%20complain%20that%20academics%20stuck%20in%20their%20ivory%20towers%20don%27t%20really%20understand%20the%20problems%20of%20the%20average%20person.","Peter%27s%20dream%20is%20to%20get%20tenure%20in%20a%20university%20and%20spend%20the%20rest%20of%20his%20life%20hidden%20away%20in%20an%20ivory%20tower."]				buildings,i	an ivory tower
An open and shut case	["A%20straightforward%20legal%20case%20in%20which%20the%20outcome%20is%20clear."]	["He%20was%20caught%20with%20the%20stolen%20money%20and%20the%20police%20had%20his%20picture%20at%20the%20crime%20scene%20on%20CCTV%20-%20it%20was%20an%20open%20and%20shut%20case."]	USA, 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/an-open-and-shut-case.mp3	legal,america	an open and shut case
an unknown quantity	["If%20a%20thing%20or%20a%20person%20is%20an%20unknown%20quantity%2C%20not%20much%20is%20known%20about%20them.",""]	["The%20Saints%20have%20signed%20a%20new%20player%2C%20but%20he%27s%20an%20unknown%20quantity%20at%20this%20stage%20as%20very%20few%20people%20have%20seen%20him%20play.","We%27ve%20all%20heard%20stories%20about%20a%20great%20new%20Ferrari%20engine%2C%20but%20it%27s%20still%20an%20unknown%20quantity%20as%20far%20as%20racing%20is%20concerned."]				u	an unknown quantity
an uphill battle | struggle | task	["If%20doing%20something%20is%20an%20uphill%20battle%2C%20an%20uphill%20struggle%20or%20an%20uphill%20task%2C%20it%20is%20difficult%20to%20do%20because%20of%20obstacles%20such%20as%20opposition%20from%20other%20people.",""]	["Getting%20a%20permit%20to%20open%20a%20bar%20is%20an%20uphill%20battle%20-%20unless%20you%20know%20someone%20on%20the%20council%2C%20that%20is.","Looking%20for%20a%20job%20when%20you%27re%20in%20your%2060%27s%20is%20an%20uphill%20task%20these%20days.%20Most%20companies%20want%20youth%2C%20not%20experience."]				u	an uphill battle,struggle,task
Ankle biter	["A%20slang%20term%20for%20small%20child."]	["Janice%20is%20pregnant%20again.%20With%20the%20twins%20still%20only%20two%20there%27s%20soon%20going%20to%20be%20three%20ankle%20biters%20around%20the%20place."]	USA, 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/ankle-biter.mp3	the_human_body,childhood,slang,america	ankle biter
another string to your bow	["If%20you%20have%20another%20string%20to%20your%20bow%2C%20you%20have%20another%20way%20of%20making%20a%20living.",""]	["Lots%20of%20people%20learn%20to%20teach%20English%20so%20they%27ll%20have%20another%20string%20to%20their%20bow.","I%27ve%20lost%20my%20job%20and%20I%27ll%20have%20to%20retrain%20for%20something%20else.%20I%20wish%20I%20already%20had%20another%20string%20to%20my%20bow."]	Probably metaphorical, from the fact that if an archer has a spare string for their bow, they can still shoot an arrow even if their first string breaks.			a,british,sports	another string to your bow
answer the call of nature	["If%20you%20answer%20the%20call%20of%20nature%2C%20you%20go%20to%20the%20toilet.",""]	["Could%20we%20stop%20somewhere%3F%20I%20need%20to%20answer%20the%20call%20of%20nature.","Does%20anyone%20need%20to%20answer%20the%20call%20of%20nature%20before%20we%20set%20off%3F"]				a,nature	answer the call of nature
Apples and pears	["Cockney%20rhyming%20slang%20for%20stairs."]	["Time%20for%20bed%20Jimmy%20-%20get%20yourself%20up%20the%20apples%20and%20pears."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/apples-and-pears.mp3	cockney_rhyming_slang,food,fruit	apples and pears
around the clock	["If%20something%20occurs%20around%20the%20clock%2C%20it%20goes%20on%20all%20day%20and%20all%20night.",""]	["I%20have%20to%20finish%20this%20report%20by%20Tuesday%2C%20so%20I%27ll%20be%20working%20around%20the%20clock%20until%20I%20get%20it%20done.","What%20the%20young%20people%20of%20this%20town%20need%20is%20a%20drop-in%20centre%20that%27s%20open%20around%20the%20clock."]				a,time	around the clock
As high as a kite	["%20Very%20high%20up%20in%20the%20sky.%20","%20High%20on%20drugs%20or%20excitement."]	["%20The%20Petronas%20Tower%20is%20as%20high%20as%20a%20kite.%20","%20She%20was%20ecstatic%20that%20she%20won%20the%20gold%20medal.%20She%20was%20high%20as%20a%20kite%20afterwards."]	1. Britain - 17th century. It probably refers to Red Kites, birds that were common in the UK in the 17th century, rather than children's kites. 2. USA.	1. In the UK. 2. Worldwide.	https://www.phrases.org.uk/idioms/audio/as-high-as-a-kite.mp3	medical,cliche,animals,happiness,america	as high as a kite
as soon as possible | asap	["If%20you%20do%20something%20as%20soon%20as%20possible%20%28sometimes%20abbreviated%20to%20%22asap%22%29%2C%20you%20do%20it%20at%20the%20first%20possible%20opportunity.",""]	["She%20said%20she%27ll%20be%20here%20as%20soon%20as%20possible%2C%20so%20there%27s%20no%20point%20calling%20her%20again.%20She%27s%20coming%20as%20quickly%20as%20she%20can.","I%27m%20in%20a%20meeting%20now%2C%20but%20I%27ll%20call%20you%20back%20asap."]				a	as soon as possible,asap
asking for trouble	["If%20someone%20is%20asking%20for%20trouble%2C%20they%27re%20doing%20something%20risky%20that%20could%20lead%20to%20a%20problem.",""]	["Don%27t%20you%20think%20that%20working%20all%20day%20and%20then%20partying%20all%20night%20is%20asking%20for%20trouble%3F","Running%20fast%20without%20warming%20up%20properly%20is%20asking%20for%20trouble%2C%20and%20could%20easily%20cause%20a%20muscle%20strain."]				a	asking for trouble
at a loose end	["If%20you%27re%20at%20a%20loose%20end%2C%20you%20have%20nothing%20to%20do.",""]	["If%20I%27m%20ever%20at%20a%20loose%20end%2C%20I%20look%20for%20a%20good%20book%20to%20read.","Give%20me%20a%20call%20if%20you%27re%20at%20a%20loose%20end%20and%20we%27ll%20go%20and%20do%20something."]				a,british	at a loose end
at cross-purposes	["If%20you%27re%20at%20cross-purposes%20with%20someone%2C%20you%20think%20you%27re%20both%20talking%20about%20the%20same%20thing%20but%20you%27re%20actually%20talking%20about%20different%20things.",""]	["I%20was%20talking%20to%20Kyle%20about%20Georgia%2C%20but%20we%20were%20at%20cross-purposes.%20I%20was%20talking%20about%20Georgia%20in%20Russia%2C%20and%20he%20was%20talking%20about%20Georgia%20in%20the%20U.S.A.%20We%20laughed%20when%20we%20realised%20we%20were%20talking%20about%20two%20different%20%22Georgias%22.","Jill%20and%20I%20were%20at%20cross-purposes%20today%20when%20we%20were%20talking%20about%20John.%20I%20was%20talking%20about%20John%20Smith%2C%20my%20neighbour%2C%20but%20she%20thought%20I%20was%20talking%20John%20at%20work%21"]				a	at cross-purposes
at loose ends	["If%20you%27re%20at%20loose%20ends%2C%20you%20feel%20restless%20and%20unsettled%20because%20you%20don%27t%20have%20anything%20to%20do.",""]	["Hank%27s%20been%20at%20loose%20ends%20since%20he%20lost%20his%20job%2C%20so%20I%20hope%20he%20finds%20another%20one%20soon.","We%20tried%20limiting%20the%20time%20Jimmy%20could%20play%20computer%20games%2C%20but%20he%20gets%20restless%20and%20moody%20whenever%20he%27s%20at%20loose%20ends%2C%20so%20we%20let%20him%20play."]				a,american	at loose ends
at sea | all at sea	["If%20you%27re%20at%20sea%2C%20or%20all%20at%20sea%2C%20you%27re%20confused%20about%20something%20and%20not%20sure%20what%20to%20do.",""]	["I%27m%20all%20at%20sea%20with%20our%20new%20spreadsheet%20software.%20I%20just%20can%27t%20understand%20it.","For%20the%20first%20few%20days%20in%20her%20new%20job%2C%20Gail%20felt%20totally%20at%20sea.%20She%20didn%27t%20know%20what%20to%20do%20or%20who%20to%20ask%20for%20help."]				a,nature	at sea,all at sea
At the drop of a hat	["With%20no%20delay.","If%20you%20do%20something%20at%20the%20drop%20of%20a%20hat%2C%20you%20do%20it%20immediately%2C%20without%20preparation%20or%20planning."]	["They%20were%20always%20ready%20to%20help.%20Just%20say%20the%20word%20and%20they%27d%20be%20there%20at%20the%20drop%20of%20a%20hat.","I%27d%20quit%20my%20job%20at%20the%20drop%20of%20a%20hat%20if%20I%20didn%27t%20have%20a%20family%20to%20support.","Lee%3A%20You%20can%27t%20just%20go%20running%20off%20to%20some%20beach%20resort%20at%20the%20drop%20of%20a%20hat%20whenever%20you%20feel%20like%20it.%20Kim%3A%20Why%20not%3F"]	USA, 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/at-the-drop-of-a-hat.mp3	clothes,america,a,clothing	at the drop of a hat
at your wits' end	["If%20you%27re%20at%20your%20wits%27%20end%2C%20you%27re%20upset%20and%20frustrated%20because%20you%27ve%20tried%20everything%20you%20can%20think%20of%20to%20solve%20a%20problem%2C%20and%20nothing%20has%20worked.",""]	["I%27m%20at%20my%20wits%27%20end%21%20I%27ve%20been%20trying%20to%20solve%20a%20problem%20with%20some%20software%20all%20morning%20and%20I%20still%20haven%27t%20got%20it%20to%20work%21","Kelvin%20says%20he%27s%20been%20trying%20to%20get%20tickets%20for%20the%20game%20all%20day%2C%20but%20he%27s%20at%20his%20wits%27%20end.%20Nobody%27s%20got%20any%20left."]				a	at your wits' end
Away with the fairies	["Not%20facing%20reality%3B%20in%20a%20dream%20world."]	["She%20says%20she%20is%20going%20to%20star%20in%20Johnny%20Depp%27s%20next%20movie.%20If%20you%20ask%20me%2C%20she%27s%20away%20with%20the%20fairies."]	From the Celtic folk belief in fairies.	In Ireland, but also spreading to other countries.	https://www.phrases.org.uk/idioms/audio/away-with-the-fairies.mp3	slang,madness	away with the fairies
Baby brain	["Confusion%20or%20forgetfulness%20caused%20by%20lack%20of%20sleep%20when%20caring%20for%20a%20new-born."]	["I%20put%20baby%20Julie%27s%20bottle%20of%20milk%20away%20in%20the%20oven%20today%20-%20must%20be%20baby%20brain."]	USA, 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/baby-brain.mp3	family,stupidity,america	baby brain
Baby bump	["The%20protruding%20belly%20of%20a%20pregnant%20woman.%20Also%20used%20to%20describe%20the%20unborn%20child%20itself."]	["Joan%20doesn%27t%20really%20want%20to%20make%20it%20public%20that%20she%20was%20pregnant%20but%20pretty%20soon%20her%20baby%20bump%20is%20going%20to%20make%20it%20obvious."]	Britain, 1980s	Worldwide.	https://www.phrases.org.uk/idioms/audio/baby-bump.mp3	children,family	baby bump
Baby snatcher	["Someone%20who%20enters%20into%20an%20amorous%20relationship%20with%20a%20much%20younger%20person."]	["Jerry%20Lee%20Lewis%20never%20really%20recovered%20from%20being%20labelled%20a%20baby%20snatcher%20after%20he%20married%20his%20","%20year%20old%20cousin."]	Britain.	Worldwide.	https://www.phrases.org.uk/idioms/audio/baby-snatcher.mp3	euphemism,slang	baby snatcher
